,train_accuracy,train_loss,test_accuracy,test_loss
0,0.5637255,0.685926,0.61764705,0.59089434
1,0.67156863,0.55355227,0.6691176,0.5716163
2,0.76715684,0.47518986,0.85294116,0.43140498
3,0.8210784,0.4295061,0.86764705,0.42361638
4,0.8161765,0.42899388,0.85294116,0.3859513
5,0.8308824,0.40533194,0.875,0.3600949
6,0.84150326,0.39112705,0.8088235,0.4037618
7,0.8594771,0.36664027,0.85294116,0.40614325
8,0.86601305,0.35567203,0.86764705,0.3757612
9,0.8856209,0.3473616,0.9044118,0.3141698
10,0.871732,0.35263768,0.86764705,0.33507958
11,0.878268,0.34153864,0.875,0.33513805
12,0.89297384,0.33058646,0.8382353,0.36969262
13,0.88153595,0.3391393,0.88235295,0.33771268
14,0.89705884,0.3105631,0.8602941,0.34501424
15,0.87990195,0.33011237,0.8602941,0.34417316
16,0.8880719,0.3125076,0.8602941,0.3688955
17,0.9125817,0.28913262,0.88235295,0.32717684
18,0.91013074,0.27107838,0.8382353,0.43508962
19,0.89624184,0.30547157,0.89705884,0.3492868
20,0.9027778,0.28385794,0.8897059,0.33674055
21,0.9191176,0.2692645,0.89705884,0.34252763
22,0.91993463,0.2533904,0.8897059,0.35193753
23,0.90767974,0.27357814,0.8897059,0.34204146
24,0.90849674,0.27846068,0.875,0.35139394
25,0.9248366,0.23805943,0.88235295,0.3349822
26,0.91993463,0.24560373,0.8088235,0.4553069
27,0.9248366,0.24132912,0.8602941,0.3825057
28,0.9289216,0.23269382,0.86764705,0.35113204
29,0.9370915,0.22717308,0.8602941,0.42804822
30,0.9183006,0.22586808,0.8455882,0.4508326
31,0.9403595,0.22922231,0.88235295,0.34463787
32,0.9428105,0.20664452,0.8897059,0.39209828
33,0.9379085,0.21546814,0.8382353,0.44693738
34,0.9379085,0.20936535,0.8602941,0.39745054
35,0.9330065,0.20502909,0.88235295,0.33876002
36,0.95343137,0.18371974,0.8897059,0.41431028
37,0.9444444,0.19133054,0.88235295,0.37333217
38,0.9485294,0.18531354,0.8382353,0.4513188
39,0.95424837,0.1755384,0.89705884,0.3734648
40,0.9501634,0.18065721,0.88235295,0.38130638
41,0.9379085,0.18998682,0.88235295,0.39397502
42,0.9583333,0.16614796,0.8602941,0.466474
43,0.9444444,0.18078992,0.88235295,0.37220716
44,0.95506537,0.16595757,0.89705884,0.4070165
45,0.9566994,0.15607879,0.875,0.4643156
46,0.95098037,0.16850638,0.875,0.45479825
47,0.9624183,0.15741123,0.875,0.4718094
48,0.9591503,0.14130771,0.85294116,0.46878123
49,0.9607843,0.15712784,0.8897059,0.37693664
