,train_accuracy,train_loss,test_accuracy,test_loss
0,0.5531046,0.6818516,0.6691176,0.599821
1,0.6960784,0.5494236,0.7867647,0.4887081
2,0.77042484,0.4805624,0.7941176,0.45551
3,0.8194444,0.43622524,0.7205882,0.47816265
4,0.8235294,0.4143025,0.8014706,0.4444205
5,0.8341503,0.40481332,0.8088235,0.4085051
6,0.8488562,0.37741017,0.8235294,0.42378414
7,0.8602941,0.35504767,0.8088235,0.44805443
8,0.875817,0.33808208,0.8382353,0.38150182
9,0.871732,0.3525127,0.8308824,0.4090046
10,0.8856209,0.3386043,0.8088235,0.4225601
11,0.872549,0.33948493,0.88235295,0.37590542
12,0.8864379,0.31982815,0.8235294,0.38738275
13,0.9044118,0.2983882,0.8455882,0.40248206
14,0.89297384,0.32899758,0.85294116,0.3791326
15,0.89705884,0.3094189,0.8455882,0.38646278
16,0.8872549,0.30046546,0.8308824,0.45122102
17,0.8995098,0.30731225,0.8161765,0.41343334
18,0.8995098,0.2785648,0.85294116,0.39167458
19,0.91993463,0.2641443,0.8455882,0.4157802
20,0.90849674,0.26318684,0.8602941,0.40996957
21,0.92156863,0.26129267,0.8602941,0.42686453
22,0.9281046,0.26036203,0.8161765,0.4418309
23,0.92401963,0.24759549,0.8455882,0.4355903
24,0.9174837,0.2572384,0.85294116,0.4207491
25,0.9248366,0.25620714,0.86764705,0.39702058
26,0.9354575,0.24502994,0.8602941,0.41840798
27,0.9297386,0.23812181,0.85294116,0.4211038
28,0.9313725,0.23548229,0.8161765,0.48911813
29,0.9191176,0.23613931,0.8308824,0.43222266
30,0.9387255,0.2136842,0.85294116,0.42990088
31,0.9362745,0.21224368,0.89705884,0.46046302
32,0.95261437,0.20111163,0.85294116,0.4471434
33,0.9321895,0.22359782,0.86764705,0.43884116
34,0.9566994,0.19411436,0.875,0.45307875
35,0.9354575,0.20898677,0.88235295,0.4427969
36,0.9428105,0.19871229,0.7647059,0.57891107
37,0.9468954,0.1966763,0.8382353,0.5103947
38,0.9632353,0.1676696,0.875,0.47218025
39,0.9632353,0.16181774,0.8602941,0.4909139
40,0.95098037,0.18619792,0.88235295,0.50339407
41,0.9583333,0.16244154,0.9044118,0.49210548
42,0.95424837,0.17986025,0.89705884,0.49398962
43,0.95261437,0.1746435,0.85294116,0.49959245
44,0.9632353,0.17612188,0.88235295,0.47333348
45,0.9714052,0.16281842,0.89705884,0.45217502
46,0.9452614,0.17679639,0.8602941,0.46480438
47,0.96732026,0.15327768,0.88235295,0.47621867
48,0.96568626,0.15888305,0.875,0.51701224
49,0.9722222,0.14218953,0.88235295,0.5287475
