,train_accuracy,train_loss,test_accuracy,test_loss
0,0.5629085,0.68551844,0.63235295,0.58226293
1,0.67075163,0.54845625,0.8088235,0.46331438
2,0.76715684,0.47543928,0.7867647,0.45274824
3,0.79901963,0.4458892,0.9044118,0.3662071
4,0.8227124,0.41031152,0.875,0.3632276
5,0.8325163,0.41462737,0.9044118,0.3253076
6,0.8316994,0.40437144,0.85294116,0.41675586
7,0.8464052,0.38465402,0.875,0.33840698
8,0.85375816,0.37452868,0.9044118,0.33067623
9,0.86928105,0.35030636,0.9338235,0.3070528
10,0.8611111,0.35038334,0.9411765,0.2970968
11,0.86764705,0.35753766,0.9338235,0.2827912
12,0.8905229,0.33183834,0.8897059,0.3607868
13,0.86928105,0.34728009,0.9411765,0.30838177
14,0.8913399,0.3198866,0.8897059,0.32981798
15,0.89215684,0.3166233,0.9264706,0.3011024
16,0.89787585,0.30611902,0.9338235,0.29451355
17,0.89379084,0.30253756,0.9044118,0.31104234
18,0.9027778,0.28796205,0.875,0.32075834
19,0.9117647,0.29104352,0.9191176,0.28762662
20,0.90931374,0.2713406,0.9264706,0.27934772
21,0.9133987,0.27358484,0.9117647,0.29279226
22,0.9150327,0.27532127,0.9117647,0.3103623
23,0.9158497,0.27016693,0.9264706,0.28901184
24,0.9117647,0.274021,0.86764705,0.3346511
25,0.9125817,0.28023422,0.9411765,0.29537925
26,0.92075163,0.25659385,0.9044118,0.29110363
27,0.92238563,0.24760363,0.9191176,0.32081482
28,0.9256536,0.24075198,0.9338235,0.30144158
29,0.9321895,0.2348674,0.89705884,0.30115065
30,0.9330065,0.2186977,0.9117647,0.35455802
31,0.91013074,0.24849167,0.9264706,0.28392428
32,0.9289216,0.22736917,0.875,0.37121722
33,0.9362745,0.21177655,0.8897059,0.3761093
34,0.9313725,0.21694283,0.9338235,0.28759772
35,0.9436275,0.19674854,0.8897059,0.3553902
36,0.9411765,0.20170772,0.8897059,0.35669315
37,0.9305556,0.2242228,0.89705884,0.41519865
38,0.9428105,0.21344517,0.9117647,0.33286306
39,0.9566994,0.18276654,0.9191176,0.30414176
40,0.9436275,0.19005038,0.9191176,0.33723742
41,0.96650326,0.1652182,0.9117647,0.398868
42,0.9566994,0.16711627,0.9044118,0.43720058
43,0.9436275,0.18778656,0.8897059,0.41191095
44,0.96977127,0.15321822,0.9264706,0.35240299
45,0.9501634,0.16239452,0.9264706,0.35750934
46,0.9575163,0.17296727,0.85294116,0.41312778
47,0.9591503,0.1525154,0.9191176,0.34668136
48,0.96732026,0.1390688,0.86764705,0.43044192
49,0.9705882,0.13888748,0.89705884,0.3920667
