,train_accuracy,train_loss,test_accuracy,test_loss
0,0.5498366,0.68212306,0.7058824,0.60315657
1,0.6772876,0.54455453,0.74264705,0.4977031
2,0.76879084,0.46139815,0.7867647,0.4620397
3,0.8186275,0.41808486,0.8235294,0.4543295
4,0.8096405,0.41207162,0.8088235,0.4505831
5,0.8357843,0.38610125,0.7941176,0.46510783
6,0.85784316,0.368755,0.8235294,0.4552685
7,0.8602941,0.36777136,0.8161765,0.4504025
8,0.86764705,0.34538063,0.8161765,0.44308627
9,0.874183,0.35611498,0.8161765,0.42544523
10,0.874183,0.3345736,0.8382353,0.41478056
11,0.8872549,0.3231912,0.8088235,0.4806764
12,0.8986928,0.32336518,0.8235294,0.4861462
13,0.9027778,0.30339915,0.8602941,0.41114673
14,0.89460784,0.31183633,0.8602941,0.42746663
15,0.89460784,0.31490093,0.86764705,0.39190078
16,0.89787585,0.29691914,0.8455882,0.42530942
17,0.91013074,0.2825058,0.85294116,0.49684215
18,0.90522873,0.2844617,0.8455882,0.47151077
19,0.92320263,0.26085493,0.8455882,0.51403546
20,0.89379084,0.28751495,0.8161765,0.48883024
21,0.9150327,0.26713732,0.875,0.4801377
22,0.91013074,0.26009694,0.8308824,0.4493979
23,0.9289216,0.25752217,0.8382353,0.46052802
24,0.9150327,0.2589403,0.8088235,0.48703536
25,0.91993463,0.25056782,0.86764705,0.3875817
26,0.9133987,0.24591771,0.8455882,0.4492941
27,0.9321895,0.23451552,0.8382353,0.45256582
28,0.9387255,0.21728204,0.85294116,0.49754456
29,0.9436275,0.20860909,0.8382353,0.49420047
30,0.9281046,0.22399975,0.8235294,0.5370771
31,0.9142157,0.2541913,0.8308824,0.47162095
32,0.9403595,0.21011086,0.85294116,0.51804787
33,0.9338235,0.23923036,0.8602941,0.50793403
34,0.9289216,0.21355845,0.8455882,0.47410846
35,0.9452614,0.19124196,0.8235294,0.51484084
36,0.9419935,0.18715672,0.85294116,0.5242162
37,0.9436275,0.19984165,0.85294116,0.5305799
38,0.9485294,0.19082955,0.86764705,0.42570662
39,0.9485294,0.1882117,0.8602941,0.5627654
40,0.9485294,0.16694197,0.8455882,0.5628802
41,0.9632353,0.156041,0.8382353,0.55029637
42,0.9370915,0.19703534,0.8455882,0.518072
43,0.9566994,0.17162955,0.8308824,0.61368877
44,0.9583333,0.15735784,0.8382353,0.65620375
45,0.95506537,0.16252041,0.8308824,0.49607956
46,0.95261437,0.16691566,0.8235294,0.5758264
47,0.9583333,0.15547118,0.8308824,0.6584442
48,0.9485294,0.17204289,0.8308824,0.5556445
49,0.9624183,0.14933978,0.8455882,0.6128313
