,train_accuracy,train_loss,test_accuracy,test_loss
0,0.5498366,0.6845353,0.6617647,0.5570862
1,0.6691176,0.5589153,0.7867647,0.43032065
2,0.77124184,0.48191753,0.8235294,0.3756235
3,0.8202614,0.43872115,0.8308824,0.35421848
4,0.8096405,0.4245732,0.8602941,0.33546886
5,0.82843137,0.41067934,0.86764705,0.37840214
6,0.84232026,0.38800538,0.8897059,0.3122416
7,0.85784316,0.36896107,0.8897059,0.3150203
8,0.85620916,0.3695121,0.86764705,0.3358073
9,0.86846405,0.37139428,0.9338235,0.29207262
10,0.88316995,0.3541697,0.875,0.30502185
11,0.875817,0.34618273,0.9191176,0.3006477
12,0.873366,0.34431368,0.89705884,0.27954245
13,0.88235295,0.3284539,0.9117647,0.27138868
14,0.88398695,0.32084414,0.9411765,0.26813915
15,0.8888889,0.31596577,0.9117647,0.28580633
16,0.89215684,0.31057245,0.9191176,0.23913327
17,0.89379084,0.31766096,0.875,0.2979235
18,0.89215684,0.30949703,0.9411765,0.26960418
19,0.90849674,0.29601717,0.9411765,0.2728476
20,0.9150327,0.2768347,0.9338235,0.2652301
21,0.92401963,0.2531384,0.8235294,0.38533586
22,0.9174837,0.28569302,0.9117647,0.26643082
23,0.92401963,0.25279966,0.9264706,0.27807558
24,0.9264706,0.24237293,0.8897059,0.29145586
25,0.9256536,0.2636503,0.9044118,0.2672918
26,0.91993463,0.2585843,0.88235295,0.26646408
27,0.92156863,0.25306848,0.9264706,0.27403933
28,0.9125817,0.25530517,0.9191176,0.25528035
29,0.9330065,0.23422633,0.9117647,0.28151345
30,0.9289216,0.2360198,0.9338235,0.279253
31,0.9346405,0.22908656,0.9558824,0.26607642
32,0.9387255,0.21819638,0.9264706,0.29630256
33,0.95506537,0.20991693,0.9117647,0.3031013
34,0.9485294,0.21073048,0.89705884,0.27513495
35,0.9403595,0.20757847,0.9338235,0.3050949
36,0.9566994,0.19022207,0.9338235,0.28809538
37,0.95261437,0.19395351,0.9044118,0.34532657
38,0.9485294,0.19464907,0.9117647,0.2802495
39,0.9501634,0.18339698,0.8897059,0.31127876
40,0.9575163,0.17941596,0.89705884,0.28934103
41,0.9436275,0.18766895,0.9117647,0.28237396
42,0.9468954,0.18443424,0.9264706,0.27611306
43,0.9624183,0.15577994,0.9044118,0.3012373
44,0.9599673,0.1629861,0.9117647,0.33051035
45,0.9575163,0.16514051,0.9264706,0.2927878
46,0.96895427,0.15062554,0.9191176,0.34947515
47,0.96486926,0.16198905,0.9044118,0.32563516
48,0.9632353,0.16224515,0.89705884,0.3254778
49,0.9566994,0.17243142,0.9117647,0.34136927
