,train_accuracy,train_loss,test_accuracy,test_loss
0,0.5236928,0.6900497,0.6544118,0.5892023
1,0.6642157,0.56238973,0.7132353,0.45859742
2,0.7736928,0.48593035,0.8014706,0.39785385
3,0.8169935,0.43230674,0.77205884,0.40451965
4,0.8169935,0.44146967,0.7941176,0.42222783
5,0.8472222,0.40194854,0.8088235,0.39408118
6,0.8235294,0.4019542,0.8308824,0.3711635
7,0.8464052,0.3847964,0.8455882,0.35466757
8,0.85620916,0.374448,0.8602941,0.3362754
9,0.86519605,0.36687222,0.7867647,0.39804497
10,0.87009805,0.35094383,0.875,0.32876074
11,0.87990195,0.33301982,0.88235295,0.32779783
12,0.88071895,0.32755616,0.8014706,0.37114763
13,0.8856209,0.33794895,0.8161765,0.37179825
14,0.88235295,0.3320282,0.85294116,0.31309897
15,0.89379084,0.31157553,0.8897059,0.29841003
16,0.89460784,0.29559892,0.8602941,0.33309323
17,0.8864379,0.3141297,0.88235295,0.3171771
18,0.9003268,0.28082207,0.88235295,0.31234327
19,0.89705884,0.30595118,0.9264706,0.3141322
20,0.9183006,0.28008065,0.8897059,0.30927247
21,0.90522873,0.29223147,0.9117647,0.30355835
22,0.8995098,0.2839508,0.9117647,0.30036047
23,0.9281046,0.24139416,0.8897059,0.31886038
24,0.9011438,0.28110063,0.9264706,0.2845237
25,0.9183006,0.26133388,0.9264706,0.31056786
26,0.9289216,0.24734508,0.86764705,0.3144262
27,0.9346405,0.23713696,0.8602941,0.38719985
28,0.92075163,0.23621501,0.875,0.32973453
29,0.9346405,0.22784239,0.9191176,0.3083589
30,0.9387255,0.23190762,0.8602941,0.37154078
31,0.9281046,0.23945376,0.88235295,0.31086645
32,0.9379085,0.2019636,0.9191176,0.32101846
33,0.9289216,0.22828737,0.9191176,0.33767733
34,0.9558824,0.20548129,0.9044118,0.35165113
35,0.9330065,0.22155821,0.88235295,0.34783706
36,0.95343137,0.20355192,0.86764705,0.37520844
37,0.9616013,0.17344478,0.86764705,0.4039739
38,0.95098037,0.17907268,0.9191176,0.31102207
39,0.95343137,0.18981129,0.8235294,0.45854545
40,0.96732026,0.16969515,0.9191176,0.39199096
41,0.9468954,0.18976557,0.86764705,0.36577925
42,0.95261437,0.17177022,0.8897059,0.37837338
43,0.9501634,0.18318921,0.9264706,0.33512196
44,0.9477124,0.18889606,0.9044118,0.38956133
45,0.96405226,0.1485415,0.9264706,0.35432434
46,0.96813726,0.14320531,0.9117647,0.3737718
47,0.96405226,0.15220091,0.9117647,0.38825402
48,0.96732026,0.15261003,0.9117647,0.37995538
49,0.9714052,0.14017111,0.9117647,0.35965285
