,train_accuracy,train_loss,test_accuracy,test_loss
0,0.5416667,0.6817611,0.5661765,0.58033425
1,0.67320263,0.554499,0.7132353,0.47591457
2,0.7614379,0.47580764,0.8161765,0.43465984
3,0.8047386,0.43955326,0.7867647,0.4355513
4,0.8308824,0.41728798,0.8088235,0.4229783
5,0.8316994,0.41427258,0.75,0.46290058
6,0.85702616,0.3750474,0.8382353,0.37708545
7,0.85212415,0.3736803,0.8602941,0.3865762
8,0.85539216,0.37543106,0.8382353,0.4057343
9,0.877451,0.3503203,0.8602941,0.40002215
10,0.87009805,0.34669393,0.77205884,0.45668617
11,0.87990195,0.3305283,0.875,0.3792672
12,0.8897059,0.32811993,0.85294116,0.40241793
13,0.88316995,0.33168602,0.85294116,0.38162553
14,0.8856209,0.3193273,0.7867647,0.41478115
15,0.8880719,0.30330324,0.875,0.37949917
16,0.9035948,0.29027063,0.8897059,0.38717708
17,0.9044118,0.29534683,0.8382353,0.39527422
18,0.90686274,0.29849124,0.8161765,0.4991877
19,0.89624184,0.30534664,0.9044118,0.38127258
20,0.9248366,0.26337728,0.8602941,0.3812802
21,0.92156863,0.26326257,0.8308824,0.47517014
22,0.91094774,0.27057457,0.86764705,0.38880756
23,0.9183006,0.26602232,0.85294116,0.4816756
24,0.9289216,0.23569433,0.8455882,0.44352213
25,0.91993463,0.24980523,0.86764705,0.45748767
26,0.9166667,0.25324386,0.8014706,0.4833194
27,0.92401963,0.23945192,0.88235295,0.41123798
28,0.9379085,0.23048176,0.8897059,0.4094845
29,0.9387255,0.22430357,0.8161765,0.46188468
30,0.9436275,0.209473,0.875,0.3930289
31,0.9436275,0.21369286,0.86764705,0.37399992
32,0.9477124,0.21422487,0.85294116,0.40426522
33,0.9387255,0.20948467,0.88235295,0.4205128
34,0.9501634,0.18572031,0.8308824,0.48169008
35,0.9468954,0.20330992,0.875,0.4151556
36,0.9379085,0.21310802,0.8308824,0.54565513
37,0.9444444,0.19733013,0.875,0.4740024
38,0.95506537,0.18192591,0.88235295,0.4228946
39,0.95179737,0.1758116,0.85294116,0.5105289
40,0.9624183,0.16158794,0.88235295,0.49363118
41,0.95261437,0.1869199,0.89705884,0.41753057
42,0.9632353,0.16198257,0.88235295,0.4807787
43,0.96405226,0.1676057,0.9044118,0.48672032
44,0.9591503,0.16084068,0.89705884,0.45989755
45,0.9558824,0.16022354,0.88235295,0.53855133
46,0.9624183,0.15811306,0.86764705,0.49440047
47,0.9599673,0.16640276,0.86764705,0.53807956
48,0.96732026,0.14239031,0.8897059,0.4729107
49,0.9730392,0.123579845,0.88235295,0.47375247
