,train_accuracy,train_loss,test_accuracy,test_loss
0,0.5514706,0.68210447,0.5808824,0.60377157
1,0.6887255,0.5461741,0.6911765,0.5239458
2,0.7663399,0.47691065,0.7794118,0.43601462
3,0.8243464,0.43889862,0.8014706,0.41340983
4,0.8325163,0.41895843,0.7794118,0.46446586
5,0.8382353,0.4075938,0.8235294,0.38164157
6,0.85539216,0.38366202,0.8235294,0.38084328
7,0.85539216,0.37745038,0.8455882,0.37735847
8,0.871732,0.35761636,0.8235294,0.37878534
9,0.878268,0.34282985,0.8161765,0.3930135
10,0.88071895,0.34647352,0.8382353,0.3827227
11,0.873366,0.3420951,0.85294116,0.34221196
12,0.88153595,0.32680053,0.8161765,0.3465072
13,0.8897059,0.31238487,0.85294116,0.3692342
14,0.8864379,0.32014224,0.8382353,0.3505419
15,0.90931374,0.29599708,0.8161765,0.40269208
16,0.89787585,0.2996873,0.8602941,0.37018383
17,0.9133987,0.28591743,0.85294116,0.38032725
18,0.90604573,0.2798383,0.8382353,0.39303398
19,0.8888889,0.31536856,0.8602941,0.32411715
20,0.9150327,0.27743217,0.8602941,0.3549805
21,0.9150327,0.2635238,0.8382353,0.40058386
22,0.91993463,0.26182535,0.8014706,0.4711605
23,0.90522873,0.2790409,0.875,0.34179068
24,0.9272876,0.25938544,0.85294116,0.39122498
25,0.9362745,0.2387409,0.8455882,0.3697337
26,0.9272876,0.24127407,0.8602941,0.36113894
27,0.9313725,0.22810356,0.8308824,0.42180604
28,0.9395425,0.23115613,0.875,0.39495844
29,0.92075163,0.24671392,0.8308824,0.47117305
30,0.9395425,0.21453302,0.8308824,0.48853448
31,0.9387255,0.2181748,0.8897059,0.36644265
32,0.9387255,0.21982452,0.8308824,0.46718097
33,0.9387255,0.1966935,0.8235294,0.45596737
34,0.9362745,0.20107521,0.8382353,0.42781347
35,0.9387255,0.21087916,0.8455882,0.43680325
36,0.9436275,0.20608173,0.85294116,0.4015125
37,0.95506537,0.18436372,0.85294116,0.45109364
38,0.9501634,0.17838123,0.8602941,0.42440686
39,0.9558824,0.18864544,0.89705884,0.43145734
40,0.9493464,0.17392597,0.875,0.44947878
41,0.95179737,0.17698567,0.875,0.4418528
42,0.9624183,0.16663994,0.8897059,0.41137272
43,0.9485294,0.17004856,0.8602941,0.44395605
44,0.9558824,0.1702451,0.875,0.46136126
45,0.95343137,0.18074314,0.8455882,0.4712645
46,0.9493464,0.1757957,0.875,0.41491294
47,0.9730392,0.13499327,0.86764705,0.5729681
48,0.97957516,0.13804233,0.875,0.44066405
49,0.96650326,0.14138576,0.86764705,0.45751852
